 01e49e   3668 TEXT     'imu_MadgwickQuaternionUpdate()'
 02979a   3268 TEXT     'pan1026::Step()'
 01aa86   2816 TEXT     'airspace_get_data_on_opened_file(long, long)'
 01d802   2302 TEXT     'fc_step()'
 00bd00   1906 TEXT     'gui_accelerometer_calib_loop()'
 026a48   1880 TEXT     'gps_parse_rmc()'
 019444   1874 TEXT     'Sha256Class::hashBlock()'
 02e1f2   1856 TEXT     'vfprintf'
 016666   1412 TEXT     'gui_pages_loop()'
 017582   1352 TEXT     'gui_update_loop()'
 02322e   1298 TEXT     'find_volume(FATFS**, char const**, unsigned char)'
 007a86   1290 TEXT     'widget_alt_menu_loop(unsigned char)'
 020f56   1240 TEXT     'waypoint_list_cache(char*)'
 020526   1206 TEXT     'navigation_step()'
 015ea0   1206 TEXT     'gui_value_loop()'
 014536   1172 TEXT     'gui_dialog_loop()'
 0124cc   1170 TEXT     'gui_set_vario_advanced_action(unsigned char)'
 00722c   1140 TEXT     'widget_airspace_info_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 02821a   1122 TEXT     'MS5611::CompensatePressure()'
 003106   1036 TEXT     'font_arial_ttf_12'
 02b12a    984 TEXT     'audio_vario_step(float)'
 01a3b4    982 TEXT     'agl_get_alt_on_opened_file(long, long)'
 0182b6    980 TEXT     'igc_start(char*)'
 014b90    980 TEXT     'gui_list_draw()'
 009f30    974 TEXT     'widget_vario_bar_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 013518    962 TEXT     'gui_loop()'
 02237a    956 TEXT     'waypoint_task_optimise_finalise()'
 00885c    948 TEXT     'widget_waypoint_info_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 01405e    932 TEXT     'gui_alarm_loop()'
 01b8ac    916 TEXT     'alt_calibration_step()'
 016ff6    910 TEXT     'gui_splash_loop()'
 0093fc    894 TEXT     'widget_thermal_assistant_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 003512    856 TEXT     'font_arial_bold_ttf_36'
 021d82    850 TEXT     'waypoint_task_optimise_sweep(opti_waypoint_cache_t*, opti_waypoint_cache_t*, opti_waypoint_cache_t*)'
 00b562    848 TEXT     '_GLOBAL__sub_I_widget_menu_state'
 020b94    846 TEXT     'vario_calc(float)'
 024e00    840 TEXT     'f_lseek(FIL*, unsigned long)'
 00d928    812 TEXT     'gui_task_editor_item(unsigned char, char*, unsigned char*, char*)'
 00c79a    806 TEXT     'gui_flightdetail_item(unsigned char, char*, unsigned char*, char*)'
 015178    804 TEXT     'gui_text_loop()'
 01c166    798 TEXT     'compass_calc()'
 00b0e6    790 TEXT     'widget_arrow(int, unsigned char, unsigned char, unsigned char, unsigned char)'
 024a3a    788 TEXT     'f_write(FIL*, void const*, unsigned int, unsigned int*)'
 00ee82    776 TEXT     'gui_set_alt_alarm_action(unsigned char)'
 0201ae    752 TEXT     'gps_distance(long, long, long, long, bool, int*)'
 01f2f2    728 TEXT     'imu_GravityCompensatedAccel(float, float, float, float volatile*)'
 00cd36    710 TEXT     'gui_gyro_calib_loop()'
 00a378    698 TEXT     'widget_vario_history_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 0240a8    654 TEXT     'follow_path(DIR*, char const*)'
 02a680    652 TEXT     'pan1322::Parse(unsigned char)'
 0114d6    650 TEXT     'gui_set_logger_item(unsigned char, char*, unsigned char*, char*)'
 00269f    647 TEXT     'config_defaults'
 810020    647     DATA 'config_ee'
 010c12    644 TEXT     'gui_set_gps_item(unsigned char, char*, unsigned char*, char*)'
 01bec2    626 TEXT     'compass_atan2(float, float)'
 022b6c    622 TEXT     'wind_new_gps_fix()'
 007808    618 TEXT     'widget_alt_menu_irqh(unsigned char, unsigned char*, unsigned char)'
 0051ea    612 TEXT     'SCSI_DecodeSCSICommand()'
 0247de    604 TEXT     'f_read(FIL*, void*, unsigned int, unsigned int*)'
 029198    604 TEXT     'pan1026::ParseGAT_ser()'
 02ba2e    602 TEXT     'battery_step()'
 017aca    596 TEXT     'gui_usb_loop()'
 01d0d6    594 TEXT     'fc_init()'
 02575e    588 TEXT     'f_mkdir(char const*)'
 024598    582 TEXT     'f_open(FIL*, char const*, unsigned char)'
 0139d8    576 TEXT     'gui_statusbar()'
 0107ac    574 TEXT     'gui_set_display_action(unsigned char)'
 01295e    564 TEXT     'gui_set_vario_advanced_item(unsigned char, char*, unsigned char*, char*)'
 0098e8    562 TEXT     'widget_flight_time_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 00f18a    560 TEXT     'gui_set_alt_alarm_item(unsigned char, char*, unsigned char*, char*)'
 00d3ce    560 TEXT     'gui_mag_calib_irqh(unsigned char, unsigned char*)'
 0062c8    560 TEXT     'USB_Device_ProcessControlRequest'
 023ac8    558 TEXT     'put_fat(FATFS*, unsigned long, unsigned long)'
 01f666    554 TEXT     'KalmanFilter::propagate(float)'
 010170    550 TEXT     'gui_set_autostart_action(unsigned char)'
 00d702    550 TEXT     'gui_task_editor_action(unsigned char)'
 005822    548 TEXT     'MassStorage_Task()'
 01bca2    544 TEXT     'circling_step()'
 010ec2    542 TEXT     'gui_set_gps_detail_loop()'
 018b6a    532 TEXT     'kml_start(char*)'
 02c2c2    530 TEXT     'lcd_display::Write(unsigned char)'
 00cac0    524 TEXT     'gui_flightdetail_parse_logfile(char const*)'
 00dd00    514 TEXT     'gui_task_settings_action(unsigned char)'
 0190ce    514 TEXT     'logger_start()'
 002f09    509 TEXT     'font_arial_ttf_10'
 023eae    506 TEXT     'dir_next(DIR*, int)'
 011c2e    502 TEXT     'gui_set_time_action(unsigned char)'
 0259aa    500 TEXT     'f_rename(char const*, char const*)'
 00a992    498 TEXT     'widget_value_int_sub(char*, char*, unsigned char, unsigned char, unsigned char, unsigned char)'
 01f890    498 TEXT     'KalmanFilter::update(float)'
 0260da    494 TEXT     'disk_initialize'
 01fd16    488 TEXT     'mag_calc_vector()'
 00d1e8    486 TEXT     'gui_mag_calib_loop()'
 025360    476 TEXT     'f_getfree(char const*, unsigned long*, FATFS**)'
 015a22    470 TEXT     'gui_value_system_date_irqh(unsigned char, unsigned char*)'
 01207a    466 TEXT     'gui_set_vario_action(unsigned char)'
 00fae4    458 TEXT     'gui_set_audio_action(unsigned char)'
 0216de    458 TEXT     'waypoint_task_open(char*)'
 018804    446 TEXT     'igc_step()'
 023cf6    440 TEXT     'create_chain(FATFS*, unsigned long)'
 013d30    436 TEXT     'gui_airspace_loop()'
 0274c4    432 TEXT     'gps_parse(Usart*)'
 02f856    432 TEXT     '__ftoa_engine'
 02bd26    426 TEXT     'button_handle(unsigned char, unsigned char)'
 02d4b6    422 TEXT     'datetime_from_epoch(unsigned long, unsigned char*, unsigned char*, unsigned char*, unsigned char*, unsigned char*, unsigned char*, unsigned int*)'
 01cbf8    422 TEXT     '__vector_18'
 02b71a    416 TEXT     'battery_finish_calibration()'
 00ac7a    414 TEXT     'widget_value_txt2(char*, char*, unsigned char, unsigned char, unsigned char, unsigned char)'
 01fefe    414 TEXT     'gps_get_kx_ky(float, float*, float*)'
 0295fc    414 TEXT     'pan1026::SendString()'
 009b1a    410 TEXT     'widget_hike_mode_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 0048cc    408 TEXT     'Usart::Init(USART_struct*, PORT_struct*, unsigned char, unsigned char, unsigned long)'
 00ae18    402 TEXT     'widget_value_scroll(char*, unsigned char, unsigned char, unsigned char, unsigned char)'
 023790    400 TEXT     'get_fat(FATFS*, unsigned long)'
 027674    392 TEXT     'gps_start()'
 810680    391     DATA 'config_ro'
 029440    390 TEXT     'pan1026::Parse(unsigned char)'
 02afa6    388 TEXT     'audio_vario_apply()'
 02663a    388 TEXT     'storage_init()'
 011e24    386 TEXT     'gui_set_time_item(unsigned char, char*, unsigned char*, char*)'
 01d402    386 TEXT     'fc_active_alarm()'
 00ea20    384 TEXT     'gui_set_airspaces_action(unsigned char)'
 011356    384 TEXT     'gui_set_logger_action(unsigned char)'
 015d22    382 TEXT     'gui_value_irqh(unsigned char, unsigned char*)'
 01868a    378 TEXT     'igc_pre_step()'
 003942    371 TEXT     'font_6px_normal_ttf_8'
 0227ac    366 TEXT     'waypoint_task_calc_distance()'
 027dae    364 TEXT     'Lsm303d::ReadAccStreamAvg(int volatile*, int volatile*, int volatile*, unsigned char)'
 0279e8    364 TEXT     'L3gd20::ReadGyroStreamAvg(int volatile*, int volatile*, int volatile*, unsigned char)'
 02cf82    364 TEXT     '__vector_83'
 02c5f4    362 TEXT     'lcd_display::DrawImage(unsigned char const*, unsigned char, unsigned char, unsigned char, unsigned char)'
 00b3fc    358 TEXT     'widget_deg_to_points(float, char*)'
 00df02    354 TEXT     'gui_task_settings_item(unsigned char, char*, unsigned char*, char*)'
 0289c0    348 TEXT     'bt_step()'
 00651c    346 TEXT     'task_usb_init()'
 028e22    346 TEXT     'pan1026::ParseMNG()'
 023920    344 TEXT     'dir_sdi(DIR*, unsigned int)'
 02b8ce    342 TEXT     'battery_calibration_step()'
 029044    340 TEXT     'pan1026::ParseMNG_LE()'
 00f790    330 TEXT     'gui_set_altimeters_action(unsigned char)'
 00e4de    330 TEXT     'gui_layouts_action(unsigned char)'
 026416    328 TEXT     'disk_ioctl'
 02d2e2    326 TEXT     'datetime_to_epoch(unsigned char, unsigned char, unsigned char, unsigned char, unsigned char, unsigned int)'
 02a90c    322 TEXT     'pan1322::Step()'
 0157de    320 TEXT     'gui_value_number_irqh(unsigned char, unsigned char*)'
 01224c    320 TEXT     'gui_set_vario_item(unsigned char, char*, unsigned char*, char*)'
 01c9a6    320 TEXT     '__vector_16'
 01cd9e    314 TEXT     'fc_save_stats()'
 021c4a    312 TEXT     'waypoint_task_optimise_init()'
 0076a0    310 TEXT     'widget_alt_draw(unsigned char, unsigned char, unsigned char, unsigned char, unsigned char)'
 00c5b0    308 TEXT     'gui_compass_calib_action(unsigned char)'
 00f3ca    306 TEXT     'gui_set_altimeter_item(unsigned char, char*, unsigned char*, char*)'
 01fbda    306 TEXT     'mag_load_calibration(vector_float_t volatile*, vector_float_t volatile*)'
 019ee4    306 TEXT     'acc_load_calibration(vector_float_t volatile*, vector_float_t volatile*)'
 00e0b0    298 TEXT     'gui_waypoint_editor_action(unsigned char)'
 015bf8    298 TEXT     'gui_value_time_irqh(unsigned char, unsigned char*)'
 00a632    298 TEXT     'sprintf_distance(char*, char*, float)'
 00feb4    296 TEXT     'gui_set_autoset_config_action(unsigned char)'
 003c5a    296 TEXT     'ClockSetSource(xlib_core_clock_source_e)'
 00a86c    294 TEXT     'widget_value_int(char*, unsigned char, unsigned char, unsigned char, unsigned char)'
 01d6de    292 TEXT     'fc_takeoff()'
 02d0ee    290 TEXT     'led_init()'
 021aba    290 TEXT     'waypoint_task_opti_angle(opti_waypoint_cache_t*, float)'
 010396    290 TEXT     'gui_set_autostart_item(unsigned char, char*, unsigned char*, char*)'
 0221a2    288 TEXT     'waypoint_task_optimise_get_cache_wpt(unsigned char, opti_waypoint_cache_t**)'
 015606    288 TEXT     'gui_value_conf_P(char const*, unsigned char, char const*, float, float, float, float, void (*)(float), float)'
 00e720    286 TEXT     'gui_set_advanced_action(unsigned char)'
 025642    284 TEXT     'f_unlink(char const*)'
 01a10a    282 TEXT     'acc_calc_total()'
 02dfc2    280 TEXT     'atoi_f(char*)'
 00838c    280 TEXT     'widget_glide_ratio(unsigned char, unsigned char, unsigned char, unsigned char)'
 02db36    280 TEXT     'LoadEEPROM()'
 02c008    280 TEXT     'lcd_display::GetTextWidth(char*, unsigned int)'
 02ad86    278 TEXT     'get_near(float, unsigned int volatile*)'
 00f8da    278 TEXT     'gui_set_altimeters_item(unsigned char, char*, unsigned char*, char*)'
 00eba0    278 TEXT     'gui_set_airspaces_item(unsigned char, char*, unsigned char*, char*)'
 011a04    278 TEXT     'gui_set_system_item(unsigned char, char*, unsigned char*, char*)'
 0109ea    274 TEXT     'gui_set_display_item(unsigned char, char*, unsigned char*, char*)'
 01c6b2    274 TEXT     'cfg_check_floats()'
 00711a    274 TEXT     'widget_agl_irqh(unsigned char, unsigned char*)'
 02009c    274 TEXT     'gps_destination(float, float, float, float, float*, float*)'
 01cae6    274 TEXT     '__vector_17'
 0154f6    272 TEXT     'gui_text_irqh(unsigned char, unsigned char*)'
 017d44    270 TEXT     'protocol_lk8ex1_step()'
 009176    268 TEXT     'widget_temperature_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 00b956    268 TEXT     'widget_wspd_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 008544    268 TEXT     'widget_gspd_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 025fc0    268 TEXT     'get_fattime()'
 006f46    266 TEXT     'widget_agl_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 02ca1e    266 TEXT     'lcd_display::Draw()'
 02ae9c    266 TEXT     '__vector_47'
 009e28    264 TEXT     'widget_avg_vario_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 009d20    264 TEXT     'widget_vario_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 010b0c    262 TEXT     'gui_set_gps_action(unsigned char)'
 02553c    262 TEXT     'f_truncate(FIL*)'
 01591e    260 TEXT     'gui_value_system_time_irqh(unsigned char, unsigned char*)'
 00d5fe    260 TEXT     'gui_task_editor_name_cb(unsigned char, char*)'
 019cee    260 TEXT     'acc_widget_filter()'
 002529    256 TEXT     'sha256K'
 002153    256 TEXT     'p_key'
 017eaa    254 TEXT     'protocol_digifly_step()'
 013214    254 TEXT     'gui_fit_text(char*, char*, unsigned char)'
 027294    252 TEXT     'gps_parse_gsa()'
 018ef2    252 TEXT     'logger_init()'
 005cfc    252 TEXT     'Endpoint_Write_Control_PStream_LE'
 018d7e    248 TEXT     'kml_step()'
 005c04    248 TEXT     'Endpoint_Write_Control_Stream_LE'
 00e83e    246 TEXT     'gui_set_advanced_item(unsigned char, char*, unsigned char*, char*)'
 020a9e    246 TEXT     'vario_get_altitude(unsigned char, unsigned char)'
 00ab84    246 TEXT     'widget_value_txt(char*, unsigned char, unsigned char, unsigned char, unsigned char)'
 011134    244 TEXT     'gui_set_layout_loop()'
 0271a0    244 TEXT     'gps_parse_gga()'
 025148    242 TEXT     'f_opendir(DIR*, char const*)'
 01fae8    242 TEXT     'mag_save_calibration(vector_float_t, vector_float_t)'
 012c84    242 TEXT     'gui_set_widgets_loop()'
 019df2    242 TEXT     'acc_save_calibration(vector_float_t, vector_float_t)'
 022a7c    240 TEXT     'waypoint_task_mode()'
 0138ec    236 TEXT     'gui_irqh(unsigned char, unsigned char*)'
 00e366    236 TEXT     'gui_waypoint_list_action(unsigned char)'
 006cb8    236 TEXT     'task_sleep()'
 006dc8    234 TEXT     'task_system_loop()'
 01e36a    234 TEXT     'gyro_calc_vector()'
 016f0c    234 TEXT     'gui_splash_init()'
 00bc18    232 TEXT     'acc_calib_get_value(unsigned char, int)'
 02dc4e    232 TEXT     'StoreEEPROM()'
 00c472    230 TEXT     'gui_accelerometer_calib_irqh(unsigned char, unsigned char*)'
 005544    230 TEXT     'SDCardManager_WriteBlocks(unsigned long, unsigned int)'
 00e1da    230 TEXT     'gui_waypoint_editor_item(unsigned char, char*, unsigned char*, char*)'
 013ee4    228 TEXT     'gui_airspace_irqh(unsigned char, unsigned char*)'
 028d3e    228 TEXT     'pan1026::ParseHCI()'
 00cffc    226 TEXT     'gui_gyro_calib_irqh(unsigned char, unsigned char*)'
 01a244    226 TEXT     'agl_get_filename(char*, long, long)'
 01e152    226 TEXT     'fc_log_battery()'
 006676    226 TEXT     'task_usb_stop()'
 024436    226 TEXT     'remove_chain(FATFS*, unsigned long)'
 01c8c4    226 TEXT     '__vector_14'
 01b7cc    224 TEXT     'airspace_write_ignore_file(FIL*, bool, unsigned char*, char*)'
 018fee    224 TEXT     'logger_next_flight()'
 027390    220 TEXT     'gps_parse_gsv()'
 02c4d4    220 TEXT     'lcd_display::DrawLine(signed char, signed char, signed char, signed char, unsigned char)'
 02306c    220 TEXT     'sync_fs(FATFS*)'
 02eb16    220 TEXT     '__divsf3x'
 0056a2    216 TEXT     'SDCardManager_ReadBlocks(unsigned long, unsigned int)'
 011836    216 TEXT     'gui_home_item(unsigned char, char*, unsigned char*, char*)'
 02cd0c    216 TEXT     'lcd_display::Init(Spi*)'
 00386a    216 TEXT     'font_arial_bold_ttf_16'
 013c18    214 TEXT     'gui_airspace_ignore_cb(unsigned char)'
 0181e0    214 TEXT     'igc_write_grecord()'
 01a034    214 TEXT     'acc_calc_vector()'
 011b1a    212 TEXT     'gui_set_system_action(unsigned char)'
 025c3a    212 TEXT     'f_delete_node(char*, unsigned int)'
 0163ce    210 TEXT     'gui_pages_set_time_cb(unsigned char)'
 004b3e    210 TEXT     'Usart::BecomeSPI(unsigned char, unsigned char, unsigned long)'
 02ce58    210 TEXT     '__vector_53'
 02f092    210 TEXT     '__mulsf3x'
 02d84c    208 TEXT     'uart_init()'
 0173de    208 TEXT     'gui_update_fail(unsigned int)'
 019be4    208 TEXT     'Sha256Class::pad()'
 0220d4    206 TEXT     'waypoint_task_optimise_store_cache_wpt(unsigned char)'
 00981a    206 TEXT     'widget_date_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 0174b4    206 TEXT     'gui_update_bar()'
 02814c    206 TEXT     'MS5611::CompensateTemperature()'
 01440a    204 TEXT     'gui_dialog_set(char*, char*, unsigned char, void (*)(unsigned char))'
 02e956    204 TEXT     '__addsf3x'
 007050    202 TEXT     'widget_gl_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 028f7c    200 TEXT     'pan1026::ParseSPP()'
 008f92    198 TEXT     'widget_waypoint_time_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 00819c    198 TEXT     'widget_ctrl_wlift_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 008ecc    198 TEXT     'widget_home_time_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 00e628    198 TEXT     'gui_layouts_item(unsigned char, char*, unsigned char*, char*)'
 012fa2    198 TEXT     'gui_showmessage(char*)'
 00ba62    196 TEXT     'widget_wdir_arrow_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
