 01d90e   3668 TEXT     'imu_MadgwickQuaternionUpdate()'
 028c0a   3268 TEXT     'pan1026::Step()'
 019ef6   2816 TEXT     'airspace_get_data_on_opened_file(long, long)'
 01cc72   2302 TEXT     'fc_step()'
 00bb4e   1906 TEXT     'gui_accelerometer_calib_loop()'
 025eb8   1880 TEXT     'gps_parse_rmc()'
 02d662   1856 TEXT     'vfprintf'
 0164b4   1412 TEXT     'gui_pages_loop()'
 0173d0   1352 TEXT     'gui_update_loop()'
 02269e   1298 TEXT     'find_volume(FATFS**, char const**, unsigned char)'
 0078d4   1290 TEXT     'widget_alt_menu_loop(unsigned char)'
 0203c6   1240 TEXT     'waypoint_list_cache(char*)'
 01f996   1206 TEXT     'navigation_step()'
 015cee   1206 TEXT     'gui_value_loop()'
 014384   1172 TEXT     'gui_dialog_loop()'
 01231a   1170 TEXT     'gui_set_vario_advanced_action(unsigned char)'
 00707a   1140 TEXT     'widget_airspace_info_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 02768a   1122 TEXT     'MS5611::CompensatePressure()'
 002f4f   1036 TEXT     'font_arial_ttf_12'
 02a59a    984 TEXT     'audio_vario_step(float)'
 019824    982 TEXT     'agl_get_alt_on_opened_file(long, long)'
 0149de    980 TEXT     'gui_list_draw()'
 009d7e    974 TEXT     'widget_vario_bar_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 013366    962 TEXT     'gui_loop()'
 0217ea    956 TEXT     'waypoint_task_optimise_finalise()'
 0086aa    948 TEXT     'widget_waypoint_info_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 013eac    932 TEXT     'gui_alarm_loop()'
 018006    930 TEXT     'igc_start(char*)'
 01ad1c    916 TEXT     'alt_calibration_step()'
 016e44    910 TEXT     'gui_splash_loop()'
 00924a    894 TEXT     'widget_thermal_assistant_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 00335b    856 TEXT     'font_arial_bold_ttf_36'
 0211f2    850 TEXT     'waypoint_task_optimise_sweep(opti_waypoint_cache_t*, opti_waypoint_cache_t*, opti_waypoint_cache_t*)'
 00b3b0    848 TEXT     '_GLOBAL__sub_I_widget_menu_state'
 020004    846 TEXT     'vario_calc(float)'
 024270    840 TEXT     'f_lseek(FIL*, unsigned long)'
 00d776    812 TEXT     'gui_task_editor_item(unsigned char, char*, unsigned char*, char*)'
 00c5e8    806 TEXT     'gui_flightdetail_item(unsigned char, char*, unsigned char*, char*)'
 014fc6    804 TEXT     'gui_text_loop()'
 01b5d6    798 TEXT     'compass_calc()'
 00af34    790 TEXT     'widget_arrow(int, unsigned char, unsigned char, unsigned char, unsigned char)'
 023eaa    788 TEXT     'f_write(FIL*, void const*, unsigned int, unsigned int*)'
 00ecd0    776 TEXT     'gui_set_alt_alarm_action(unsigned char)'
 01f61e    752 TEXT     'gps_distance(long, long, long, long, bool, int*)'
 01e762    728 TEXT     'imu_GravityCompensatedAccel(float, float, float, float volatile*)'
 00cb84    710 TEXT     'gui_gyro_calib_loop()'
 00a1c6    698 TEXT     'widget_vario_history_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 023518    654 TEXT     'follow_path(DIR*, char const*)'
 029af0    652 TEXT     'pan1322::Parse(unsigned char)'
 011324    650 TEXT     'gui_set_logger_item(unsigned char, char*, unsigned char*, char*)'
 0024e8    647 TEXT     'config_defaults'
 810020    647     DATA 'config_ee'
 010a60    644 TEXT     'gui_set_gps_item(unsigned char, char*, unsigned char*, char*)'
 01b332    626 TEXT     'compass_atan2(float, float)'
 021fdc    622 TEXT     'wind_new_gps_fix()'
 007656    618 TEXT     'widget_alt_menu_irqh(unsigned char, unsigned char*, unsigned char)'
 005038    612 TEXT     'SCSI_DecodeSCSICommand()'
 023c4e    604 TEXT     'f_read(FIL*, void*, unsigned int, unsigned int*)'
 028608    604 TEXT     'pan1026::ParseGAT_ser()'
 02ae9e    602 TEXT     'battery_step()'
 017918    596 TEXT     'gui_usb_loop()'
 01c546    594 TEXT     'fc_init()'
 024bce    588 TEXT     'f_mkdir(char const*)'
 023a08    582 TEXT     'f_open(FIL*, char const*, unsigned char)'
 013826    576 TEXT     'gui_statusbar()'
 0105fa    574 TEXT     'gui_set_display_action(unsigned char)'
 0127ac    564 TEXT     'gui_set_vario_advanced_item(unsigned char, char*, unsigned char*, char*)'
 009736    562 TEXT     'widget_flight_time_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 00efd8    560 TEXT     'gui_set_alt_alarm_item(unsigned char, char*, unsigned char*, char*)'
 00d21c    560 TEXT     'gui_mag_calib_irqh(unsigned char, unsigned char*)'
 006116    560 TEXT     'USB_Device_ProcessControlRequest'
 022f38    558 TEXT     'put_fat(FATFS*, unsigned long, unsigned long)'
 01ead6    554 TEXT     'KalmanFilter::propagate(float)'
