time(ms), acc X, acc Y, acc Z, gyro X, gyro Y, gyro Z, mag X, mag Y, mag Z, alt(m), lat, lon
21367, 412, 842, -899, 63, -86, 54, -637, -1036, 2227, 204.655319214, 0, 0
21442, 391, 847, -887, 73, 160, -311, -607, -1142, 2078, 204.651611328, 0, 0
21496, 372, 829, -903, 30, 75, 66, -671, -1134, 2078, 204.656021118, 0, 0
21556, 409, 825, -903, 75, 325, 28, -683, -1221, 2031, 204.654174805, 0, 0
21613, 407, 829, -923, 630, 1158, 73, -672, -984, 2271, 204.656661987, 0, 0
21670, 362, 892, -821, -143, 1825, 139, -655, -954, 2303, 204.661987305, 0, 0
21723, 425, 827, -920, -805, 972, 270, -696, -988, 2264, 204.685272217, 0, 0
21776, 431, 798, -922, -479, -195, 291, -673, -914, 2256, 204.722091675, 0, 0
21826, 428, 813, -923, -277, 135, 18, -736, -930, 2255, 204.730392456, 0, 0
21881, 397, 784, -950, -481, 16, 29, -664, -930, 2261, 204.735977173, 0, 0
21930, 466, 841, -883, -764, -631, 803, -730, -911, 2267, 204.75970459, 0, 0
21987, 436, 806, -936, -544, -160, 35, -729, -919, 2260, 204.76965332, 0, 0
22037, 426, 808, -892, -657, -1510, 501, -739, -949, 2239, 204.774383545, 0, 0
22092, 457, 827, -889, -1051, -1999, 1168, -798, -946, 2180, 204.789627075, 0, 0
22141, 526, 860, -847, -1276, -2599, 1230, -822, -940, 2131, 204.781707764, 0, 0
22198, 518, 824, -771, -1010, -4178, 1389, -857, -961, 2083, 204.767868042, 0, 0
22252, 303, 1541, -1377, -2685, -1866, 2825, -942, -980, 2028, 204.763946533, 0, 0
22306, 485, 913, -796, 4937, 9639, -15211, -893, -993, 2080, 204.779495239, 0, 0
22359, 606, 683, -692, -2035, 2006, 967, -878, -969, 2078, 204.777420044, 0, 0
22409, 510, 756, -658, -191, 3025, 3675, -915, -911, 2083, 204.780059814, 0, 0
22463, 609, 811, -931, -6102, -150, 5088, -1083, -830, 1988, 204.782943726, 0, 0
22517, 721, 520, -832, -2941, 12699, 2872, -1099, -717, 2051, 204.777770996, 0, 0
22568, 677, 642, -808, 873, 4383, 3169, -1091, -667, 2140, 204.766952515, 0, 0
22622, 693, 651, -929, 2641, 5835, -141, -1098, -607, 2224, 204.760742188, 0, 0
22673, 709, 638, -1008, 7704, 62, -5086, -938, -657, 2302, 204.750106812, 0, 0
22728, 328, 717, -1109, 19569, 3171, -13869, -485, -793, 2578, 204.737121582, 0, 0
22781, -484, 430, -1106, 23081, 2353, -17692, 92, -904, 2716, 204.738540649, 0, 0
22831, -9, 840, -1146, -3019, -1717, 7180, -50, -855, 2705, 204.738555908, 0, 0
22885, 39, 694, -1093, -948, 397, 712, -80, -867, 2705, 204.728988647, 0, 0
22939, 83, 705, -1074, -664, -20, 510, -79, -831, 2701, 204.74432373, 0, 0
22995, 54, 694, -1094, 1391, 347, -961, -42, -871, 2697, 204.740631104, 0, 0
23046, 29, 685, -1105, 1070, 304, -910, -34, -867, 2688, 204.732833862, 0, 0
23102, -2, 684, -1095, 105, 145, -35, -38, -843, 2716, 204.75289917, 0, 0
23153, 44, 697, -1077, -98, 139, 132, 20, -836, 2708, 204.74508667, 0, 0
23206, 34, 678, -1106, 139, 105, -76, -60, -847, 2725, 204.745117188, 0, 0
23257, 30, 680, -1110, 57, 110, 15, -16, -874, 2733, 204.745697021, 0, 0
23313, 33, 685, -1077, 100, 80, -52, -60, -838, 2685, 204.734512329, 0, 0
23364, 29, 681, -1102, 91, 128, -89, -39, -875, 2693, 204.735809326, 0, 0
23417, 19, 683, -1111, 119, 55, -51, -28, -860, 2689, 204.737609863, 0, 0
23468, 19, 693, -1093, 92, 126, -52, -12, -855, 2709, 204.744689941, 0, 0
23524, 34, 691, -1102, 112, 35, -46, -63, -864, 2739, 204.746658325, 0, 0
23575, 17, 689, -1098, 110, 125, -79, -27, -891, 2719, 204.750762939, 0, 0
23628, 34, 689, -1090, 154, 86, -73, -24, -823, 2721, 204.762481689, 0, 0
23679, 33, 680, -1094, 127, 125, -43, 14, -869, 2706, 204.76739502, 0, 0
23735, 32, 687, -1107, 198, 264, -70, -27, -879, 2691, 204.775817871, 0, 0
23790, 24, 684, -1105, 163, 58, -72, -20, -825, 2726, 204.78364563, 0, 0
23843, 33, 689, -1120, 104, 98, -39, -48, -881, 2734, 204.787414551, 0, 0
23897, 20, 682, -1114, 89, 112, 19, -2, -850, 2727, 204.795852661, 0, 0
23946, 51, 678, -1085, 172, 136, -113, -47, -814, 2716, 204.804840088, 0, 0
24001, 26, 685, -1113, 93, 55, -39, 13, -879, 2691, 204.810760498, 0, 0
24054, 45, 684, -1098, 129, 107, -55, 32, -852, 2696, 204.827072144, 0, 0
24108, 21, 690, -1102, 82, 87, -43, -23, -880, 2714, 204.842926025, 0, 0
24157, 25, 689, -1099, 120, 169, -45, -47, -867, 2710, 204.853317261, 0, 0
24212, 34, 689, -1103, 155, 108, -25, 19, -847, 2738, 204.86289978, 0, 0
24265, 15, 682, -1101, 78, 75, -57, -16, -827, 2705, 204.872360229, 0, 0
24319, 29, 691, -1096, 165, 85, -111, -49, -859, 2693, 204.874633789, 0, 0
24368, 22, 684, -1110, 119, 148, -22, -54, -876, 2703, 204.87461853, 0, 0
24423, 37, 686, -1109, 87, 88, -65, -71, -859, 2694, 204.875411987, 0, 0
24476, 30, 696, -1115, 94, 61, -23, -63, -822, 2721, 204.887039185, 0, 0
24533, 33, 683, -1105, 90, 83, -50, -12, -880, 2737, 204.892807007, 0, 0
24583, 38, 689, -1104, 95, 91, -49, -31, -891, 2731, 204.890930176, 0, 0
24641, 24, 681, -1098, 105, 94, -62, -37, -862, 2689, 204.902191162, 0, 0
